"project","site","plot","profile_code","plot_type","date","longitude","latitude","altitude","positional_accuracy","Horizon","Depth (cm)","upper","lower","Sand (%)","Silt (%)","Clay (%)","Texture","C (%)","N (%)","C/N","pH-H₂O","pH-KCl","CEC (me/100g)","CEC/100g Clay","Ca (me/100g)","Mg (me/100g)","K (me/100g)","Na (me/100g)","Bases (me/100g)","Al (me/100g)","ECEC (me/100g)","Al Saturation (%)","K total (ppm)","P total (ppm)","P-Bray I (ppm)","Bulk Density (kg/l)","pF 1 (%)","pF 1.5 (%)","pF 2 (%)","pF 3.4 (%)","pF 4.2 (%)"
"LH/UvS_01 ","Para","Kabo1","Profile35 ","Borehole",1983-05-27,89.6404,27.4728,20,1850,"Ah1","0-4",0,4,83.5,13.6,2.9,"LS",1.17,0.08,15,4,3.3,2.6,89.7,0.25,0.23,0.04,0.02,0.54,0.38,0.92,41,20,32,2.2,,,,,,
"LH/UvS_01 ","Para","Kabo1","Profile35 ","Borehole",1983-05-27,89.6404,27.4728,20,1850,"Ah2","4-9",4,9,76.2,17.6,6.3,"LS",1.2,0.09,13,3.7,3.4,2.84,45.1,0.08,0.1,0.03,0.05,0.26,1.24,1.5,83,24,49,2.2,1.41,41.2,30.5,23.2,17.9,8.8
"LH/UvS_01 ","Para","Kabo1","Profile35 ","Borehole",1983-05-27,89.6404,27.4728,20,1850,"E","9-24",9,24,68.5,17.9,13.6,"SL",0.82,0.06,14,4.4,3.8,2.32,17.1,0.03,0.05,0.01,0.03,0.12,1.18,1.3,91,24,54,1.1,1.28,37.3,27.4,22.4,14.1,10.6
"LH/UvS_01 ","Para","Kabo1","Profile35 ","Borehole",1983-05-27,89.6404,27.4728,20,1850,"Bhs","24-50",24,50,63.8,18.8,17.6,"SL",0.56,0.04,14,4.8,4,2.28,13,0.03,0.03,0.01,0.02,0.09,1.23,1.32,93,30,47,0.6,1.56,32.7,29.5,25.2,20.3,16.6
"LH/UvS_01 ","Para","Kabo1","Profile35 ","Borehole",1983-05-27,89.6404,27.4728,20,1850,"Bws1","50-66",50,66,62.8,14.2,23.1,"SCL",0.25,0.02,12,4.8,3.8,1.44,6.2,0.03,0.02,0,0.02,0.07,0.9,0.97,93,34,52,0.2,1.6,32.1,29.7,26,20.5,15.8
"LH/UvS_01 ","Para","Kabo1","Profile35 ","Borehole",1983-05-27,89.6404,27.4728,20,1850,"Bws2","66-104",66,104,64.2,12.4,23.6,"SCL",0.14,0.03,5,4.8,4,1.22,5.2,0.03,0.01,0,0.01,0.05,0.77,0.82,94,30,49,0.5,1.65,31.3,29.1,25.9,20.3,16.9
"LH/UvS_01 ","Para","Kabo1","Profile35 ","Borehole",1983-05-27,89.6404,27.4728,20,1850,"Bws3","104-134",104,134,62.3,12.5,25.4,"SCL",0.07,0.01,7,5,4,1.08,4.3,0,0,0.01,0,0.01,0.69,0.7,99,40,37,1.1,1.69,31.5,29.9,27.1,25,15.7
"LH/UvS_01 ","Para","Kabo1","Profile35 ","Borehole",1983-05-27,89.6404,27.4728,20,1850,"Bws4","134-170",134,170,58.1,14.3,27.8,"SCL",0.06,0.01,6,5,4.1,0.98,3.5,0.03,0,0,0.01,0.04,0.67,0.71,94,34,37,0.8,1.69,32.8,31.4,29.7,,
"LH/UvS_01 ","Para","Kabo2","Profile36","Borehole",1978-08-10,90.4336,27.5142,27,1850,"Ah1","0-3",0,3,75.2,21.7,3.2,"LS",1.52,0.11,14,4,3.8,3.48,108.8,0.46,0.1,0.06,0.07,0.69,0.71,1.4,51,41,54,2.1,1.38,,,,,
"LH/UvS_01 ","Para","Kabo2","Profile36","Borehole",1978-08-10,90.4336,27.5142,27,1850,"Ah2","3-10",3,10,75.6,16.4,8,"SL",0.86,0.08,11,4,3.6,2.66,33.3,0.06,0.05,0.03,0.03,0.17,1.1,1.27,87,59,60,1.4,1.47,42.8,27.7,20.4,11.3,8.9
